Stock_A,Stock_B,Sector,Correlation,Coint_pval,Half_Life
ALL,GL,Financials,0.905925,3.3e-05,5.1
PPL,WEC,Utilities,0.986911,0.000211,8.1
KLAC,STX,Information Technology,0.973892,0.000331,9.1
ADI,MU,Information Technology,0.923009,0.000456,14.5
ADSK,PANW,Information Technology,0.885343,0.000726,8.6
DTE,DUK,Utilities,0.973344,0.000742,10.5
J,PNR,Industrials,0.873963,0.000852,12.4
GILD,DGX,Health Care,0.961051,0.000944,8.0
CDNS,MSFT,Information Technology,0.840611,0.001368,9.8
GL,HIG,Financials,0.920806,0.001401,5.9
EME,NSC,Industrials,0.927048,0.001467,10.0
AME,CMI,Industrials,0.942778,0.001612,10.1
FITB,USB,Financials,0.977137,0.001667,9.6
GL,TRV,Financials,0.915399,0.001792,6.1
GL,IBKR,Financials,0.906603,0.00181,6.3
AMZN,CCL,Consumer Discretionary,0.86525,0.002193,10.0
HWM,JCI,Industrials,0.98387,0.002291,14.3
DOV,JBHT,Industrials,0.851366,0.002814,12.2
ABBV,CVS,Health Care,0.846844,0.002821,14.7
DOV,PCAR,Industrials,0.829795,0.003109,12.1
ABBV,MDT,Health Care,0.895816,0.003906,11.6
COO,RVTY,Health Care,0.874663,0.004112,10.4
NVR,MHK,Consumer Discretionary,0.912986,0.004448,10.8
AMZN,TSLA,Consumer Discretionary,0.850771,0.004464,11.9
LDOS,URI,Industrials,0.849163,0.004521,11.3
GOOGL,WBD,Communication Services,0.971406,0.00492,15.0
AMZN,WSM,Consumer Discretionary,0.824492,0.004972,10.3
ADI,LRCX,Information Technology,0.923545,0.004995,18.0
NI,PPL,Utilities,0.977987,0.005182,10.5
BK,L,Financials,0.972196,0.005285,14.0
GOOG,WBD,Communication Services,0.971141,0.005533,15.2
BAX,ZTS,Health Care,0.892052,0.005577,12.5
ADI,WDC,Information Technology,0.925991,0.005832,13.0
CHRW,CAT,Industrials,0.952422,0.005861,15.9
CI,ELV,Health Care,0.825739,0.00611,10.9
COR,CVS,Health Care,0.895434,0.006223,15.3
ESS,MAA,Real Estate,0.90525,0.006299,11.9
ALL,CME,Financials,0.870203,0.006331,10.8
BF-B,KHC,Consumer Staples,0.941498,0.006412,10.9
AME,LUV,Industrials,0.911983,0.006566,9.5
CMS,DUK,Utilities,0.974444,0.006666,11.2
EQR,UDR,Real Estate,0.962154,0.006807,9.2
FDX,JBHT,Industrials,0.918391,0.007104,11.0
CEG,NRG,Utilities,0.887432,0.007132,19.9
PWR,ROK,Industrials,0.895466,0.007577,20.1
CHRW,CMI,Industrials,0.973469,0.007616,11.0
CSX,VRT,Industrials,0.837494,0.007676,14.6
BAC,MS,Financials,0.972215,0.007691,12.8
ADI,COHR,Information Technology,0.923159,0.008102,15.9
PSX,VLO,Energy,0.933891,0.008265,18.3
JPM,NDAQ,Financials,0.933707,0.008775,18.5
NTRS,STT,Financials,0.986356,0.008794,12.6
ADI,STX,Information Technology,0.925004,0.008825,13.5
IR,UPS,Industrials,0.808025,0.008961,11.6
DG,DLTR,Consumer Staples,0.940378,0.008973,10.9
CPT,ESS,Real Estate,0.922233,0.00903,13.8
ALLE,LDOS,Industrials,0.867197,0.01015,15.8
HD,NCLH,Consumer Discretionary,0.819601,0.010458,12.0
AFL,GL,Financials,0.823283,0.010602,10.1
CBOE,TRV,Financials,0.929454,0.011259,10.4
AEE,PPL,Utilities,0.982594,0.01154,13.3
INTC,MU,Information Technology,0.897179,0.011682,14.8
FCX,NUE,Materials,0.842638,0.011692,12.8
GNRC,HUBB,Industrials,0.801262,0.012625,18.8
ES,FE,Utilities,0.90928,0.012642,13.2
ALL,BK,Financials,0.849389,0.012667,10.9
FTV,IEX,Industrials,0.833426,0.013513,11.9
ALL,NDAQ,Financials,0.842701,0.013717,11.1
ADM,HSY,Consumer Staples,0.849042,0.013726,13.8
ATO,EVRG,Utilities,0.987823,0.013982,12.3
DE,WM,Industrials,0.808198,0.014168,12.2
CMI,LUV,Industrials,0.89102,0.014218,20.6
ABT,BSX,Health Care,0.887598,0.014292,13.7
CPB,GIS,Consumer Staples,0.977776,0.014313,13.0
CBOE,HIG,Financials,0.935105,0.014371,9.1
NEM,STLD,Materials,0.882207,0.014462,20.1
BK,TRV,Financials,0.936913,0.014712,11.0
J,URI,Industrials,0.888451,0.015171,10.5
HBAN,NDAQ,Financials,0.8787,0.015237,14.3
FISV,MRSH,Financials,0.905205,0.015633,12.1
ANET,HPE,Information Technology,0.86793,0.016074,13.7
ALL,CBOE,Financials,0.842956,0.016379,11.5
TFC,USB,Financials,0.962537,0.016441,13.0
KEY,RF,Financials,0.983691,0.01654,9.7
CHRW,LUV,Industrials,0.861224,0.016751,21.9
BG,HSY,Consumer Staples,0.806144,0.01677,19.5
GL,STT,Financials,0.887182,0.017383,7.9
COF,NDAQ,Financials,0.938498,0.01755,14.7
AME,CHRW,Industrials,0.891948,0.017714,15.1
DTE,EXC,Utilities,0.961282,0.017921,13.8
LNT,ATO,Utilities,0.977038,0.018073,13.8
INTC,WDC,Information Technology,0.872814,0.018867,19.3
ALL,IBKR,Financials,0.806912,0.019033,12.7
ADSK,GEN,Information Technology,0.806988,0.019128,21.4
IBKR,WFC,Financials,0.947294,0.019144,14.4
GL,NDAQ,Financials,0.897652,0.019144,6.0
EQR,EXR,Real Estate,0.802553,0.019648,13.5
CVS,MCK,Health Care,0.832393,0.020085,17.1
GS,L,Financials,0.95828,0.020259,13.8
AVGO,TEL,Information Technology,0.933335,0.020567,25.3
ESS,UDR,Real Estate,0.912394,0.021125,17.2
CIEN,KEYS,Information Technology,0.94346,0.021464,21.0
MTB,USB,Financials,0.93425,0.021525,20.7
CMS,PPL,Utilities,0.968806,0.021541,13.2
BRK-B,GL,Financials,0.837083,0.021981,8.3
GS,STT,Financials,0.986019,0.022033,11.4
GL,NTRS,Financials,0.885718,0.022148,8.4
AMCR,IFF,Materials,0.822424,0.022185,13.5
GL,GS,Financials,0.875179,0.022374,8.0
LNT,DUK,Utilities,0.966652,0.022403,16.2
MTD,TMO,Health Care,0.842972,0.023002,15.0
CBOE,L,Financials,0.941487,0.023135,12.1
C,L,Financials,0.95743,0.023267,14.3
GEV,JCI,Industrials,0.977966,0.023317,19.2
CSCO,JBL,Information Technology,0.945733,0.023482,15.9
CINF,TRV,Financials,0.953275,0.023582,14.1
NDAQ,WFC,Financials,0.889673,0.023953,27.6
INTC,KLAC,Information Technology,0.853191,0.024465,23.4
ALL,JPM,Financials,0.830909,0.024578,13.7
ATO,XEL,Utilities,0.98109,0.024613,12.0
GL,MS,Financials,0.878916,0.024696,8.5
AMAT,TER,Information Technology,0.962306,0.024705,19.7
AEE,NI,Utilities,0.991387,0.02471,7.8
FOXA,TKO,Communication Services,0.935366,0.024874,18.5
ALB,DD,Materials,0.896047,0.025035,18.3
ALL,TRV,Financials,0.935507,0.025368,8.6
KEY,USB,Financials,0.977809,0.025474,8.7
INTC,STX,Information Technology,0.845847,0.025478,25.5
CLX,PG,Consumer Staples,0.826864,0.025494,14.0
FIX,LHX,Industrials,0.95597,0.025616,17.9
IBKR,JPM,Financials,0.9739,0.025944,10.6
INTC,TER,Information Technology,0.849192,0.026055,22.7
AME,PH,Industrials,0.935025,0.026529,16.6
ADBE,HPQ,Information Technology,0.882358,0.027295,15.8
AMP,APO,Financials,0.894215,0.027665,13.7
ABT,PODD,Health Care,0.860146,0.02814,14.1
CSX,HUBB,Industrials,0.840886,0.028157,13.9
PNC,USB,Financials,0.973226,0.028355,13.8
JCI,RTX,Industrials,0.960474,0.02928,14.6
MS,STT,Financials,0.982829,0.029339,14.0
F,ULTA,Consumer Discretionary,0.841268,0.030003,15.9
AME,CAT,Industrials,0.92048,0.030003,14.9
AMP,MET,Financials,0.837145,0.030196,17.0
INTC,LRCX,Information Technology,0.909857,0.030352,16.5
ANET,NVDA,Information Technology,0.928786,0.030432,12.6
AVY,CE,Materials,0.901801,0.030816,14.9
AME,FIX,Industrials,0.902617,0.031311,15.9
BLK,GL,Financials,0.861547,0.031765,8.6
GL,L,Financials,0.887535,0.031769,9.1
AVGO,NVDA,Information Technology,0.932973,0.031887,22.6
