trade_id,date_open,ticker,direction,entry_price,shares,capital_deployed,earnings_date,days_until_earnings,beat_rate,avg_eps_surprise_pct,eps_trend,status,date_close,exit_price,exit_reason,hold_days,gross_pnl,net_pnl
20260408_earn_JPM,2026-04-08,JPM,LONG,307.9700,3.2471,1000.00,2026-04-14,6,0.7500,5.05,flat,closed,2026-04-21,316.9900,post_earnings,13,29.29,27.26
20260408_earn_WFC,2026-04-08,WFC,LONG,84.6600,11.8120,1000.00,2026-04-14,6,0.7500,5.42,growing,closed,2026-04-21,81.9700,post_earnings,13,-31.77,-33.74
20260408_earn_GS,2026-04-08,GS,LONG,905.7500,1.1041,1000.00,2026-04-13,5,1.0000,14.62,flat,closed,2026-04-21,941.7400,post_earnings,13,39.74,37.70
20260410_earn_PEP,2026-04-10,PEP,LONG,157.4900,6.3496,1000.00,2026-04-16,6,0.7500,1.50,growing,closed,2026-04-21,156.9900,post_earnings,11,-3.17,-5.17
20260421_earn_BA,2026-04-21,BA,LONG,225.0800,4.4429,1000.00,2026-04-22,1,0.7500,596.71,growing,closed,2026-04-23,231.2800,post_earnings,2,27.55,25.52
20260421_earn_GE,2026-04-21,GE,LONG,303.6000,3.2938,1000.00,2026-04-21,0,1.0000,13.99,growing,closed,2026-04-22,281.4700,post_earnings,1,-72.89,-74.82
20260422_earn_F,2026-04-22,F,LONG,12.8413,77.8737,1000.00,2026-04-29,7,0.7500,1091.72,growing,closed,2026-04-30,11.8750,post_earnings,8,-75.25,-77.17
20260422_earn_GM,2026-04-22,GM,LONG,79.4500,12.5865,1000.00,2026-04-28,6,1.0000,11.30,flat,closed,2026-04-29,78.9500,post_earnings,7,-6.29,-8.29
20260429_earn_AMZN,2026-04-29,AMZN,LONG,259.7000,3.8506,1000.00,2026-04-29,0,0.7500,16.87,growing,closed,2026-04-30,258.3808,post_earnings,1,-5.08,-7.07
20260506_earn_CSCO,2026-05-06,CSCO,LONG,94.3000,10.6045,1000.00,2026-05-13,7,1.0000,2.45,flat,closed,2026-05-14,101.8700,post_earnings,8,80.28,78.20
