2026-02-25 13:45:56 | WARNING | FMP earnings fetch failed for AAPL: Expecting value: line 1 column 1 (char 0)
2026-02-25 13:45:57 | WARNING | FMP earnings fetch failed for MSFT: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:50:51 | WARNING | Alpha Vantage quota/rate-limit hit fetching APD — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:52 | WARNING | Alpha Vantage quota/rate-limit hit fetching IP — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:52 | WARNING | Alpha Vantage quota/rate-limit hit fetching KLAC — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:53 | WARNING | Alpha Vantage quota/rate-limit hit fetching STX — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:53 | WARNING | Alpha Vantage quota/rate-limit hit fetching ATO — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:54 | WARNING | Alpha Vantage quota/rate-limit hit fetching XEL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:55 | WARNING | FMP earnings fetch failed for ATO: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:50:56 | WARNING | FMP earnings fetch failed for XEL: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:50:56 | WARNING | Alpha Vantage quota/rate-limit hit fetching LNT — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:56 | WARNING | Alpha Vantage quota/rate-limit hit fetching XEL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:57 | WARNING | FMP earnings fetch failed for LNT: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:50:58 | WARNING | Alpha Vantage quota/rate-limit hit fetching CBOE — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:58 | WARNING | Alpha Vantage quota/rate-limit hit fetching HIG — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:59 | WARNING | Alpha Vantage quota/rate-limit hit fetching ABBV — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:50:59 | WARNING | Alpha Vantage quota/rate-limit hit fetching MDT — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:00 | WARNING | Alpha Vantage quota/rate-limit hit fetching PPL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:00 | WARNING | Alpha Vantage quota/rate-limit hit fetching WEC — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:01 | WARNING | Alpha Vantage quota/rate-limit hit fetching NI — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:01 | WARNING | Alpha Vantage quota/rate-limit hit fetching XEL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:02 | WARNING | FMP earnings fetch failed for NI: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:02 | WARNING | Alpha Vantage quota/rate-limit hit fetching BAC — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:03 | WARNING | Alpha Vantage quota/rate-limit hit fetching MS — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:04 | WARNING | Alpha Vantage quota/rate-limit hit fetching DG — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:04 | WARNING | Alpha Vantage quota/rate-limit hit fetching DLTR — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:05 | WARNING | FMP earnings fetch failed for DG: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:05 | WARNING | FMP earnings fetch failed for DLTR: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:06 | WARNING | Alpha Vantage quota/rate-limit hit fetching BF-B — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:06 | WARNING | Alpha Vantage quota/rate-limit hit fetching STZ — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:07 | WARNING | Alpha Vantage quota/rate-limit hit fetching AME — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:07 | WARNING | Alpha Vantage quota/rate-limit hit fetching LUV — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:08 | WARNING | Alpha Vantage quota/rate-limit hit fetching KEY — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:08 | WARNING | Alpha Vantage quota/rate-limit hit fetching RF — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:09 | WARNING | FMP earnings fetch failed for KEY: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:10 | WARNING | FMP earnings fetch failed for RF: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:10 | WARNING | Alpha Vantage quota/rate-limit hit fetching CDNS — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:11 | WARNING | Alpha Vantage quota/rate-limit hit fetching MSFT — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:11 | WARNING | Alpha Vantage quota/rate-limit hit fetching ES — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:12 | WARNING | Alpha Vantage quota/rate-limit hit fetching FE — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:13 | WARNING | FMP earnings fetch failed for ES: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:13 | WARNING | FMP earnings fetch failed for FE: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:14 | WARNING | Alpha Vantage quota/rate-limit hit fetching HD — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:14 | WARNING | Alpha Vantage quota/rate-limit hit fetching NCLH — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:15 | WARNING | Alpha Vantage quota/rate-limit hit fetching J — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:15 | WARNING | Alpha Vantage quota/rate-limit hit fetching PNR — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:16 | WARNING | Alpha Vantage quota/rate-limit hit fetching GL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:16 | WARNING | Alpha Vantage quota/rate-limit hit fetching TRV — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:17 | WARNING | Alpha Vantage quota/rate-limit hit fetching PPL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:17 | WARNING | Alpha Vantage quota/rate-limit hit fetching XEL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:18 | WARNING | FMP earnings fetch failed for PPL: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:18 | WARNING | Alpha Vantage quota/rate-limit hit fetching DUK — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:19 | WARNING | Alpha Vantage quota/rate-limit hit fetching XEL — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:20 | WARNING | FMP earnings fetch failed for DUK: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:20 | WARNING | Alpha Vantage quota/rate-limit hit fetching DTE — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:21 | WARNING | Alpha Vantage quota/rate-limit hit fetching DUK — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:21 | WARNING | FMP earnings fetch failed for DTE: Expecting value: line 1 column 1 (char 0)
2026-02-25 14:51:22 | WARNING | Alpha Vantage quota/rate-limit hit fetching BF-B — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:22 | WARNING | Alpha Vantage quota/rate-limit hit fetching GIS — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:23 | WARNING | Alpha Vantage quota/rate-limit hit fetching EME — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:23 | WARNING | Alpha Vantage quota/rate-limit hit fetching NSC — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:24 | WARNING | Alpha Vantage quota/rate-limit hit fetching HWM — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:24 | WARNING | Alpha Vantage quota/rate-limit hit fetching JCI — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:25 | WARNING | Alpha Vantage quota/rate-limit hit fetching IR — falling back to yfinance for this and subsequent tickers.
2026-02-25 14:51:25 | WARNING | Alpha Vantage quota/rate-limit hit fetching ODFL — falling back to yfinance for this and subsequent tickers.
